arrival_rate,max_batch_size,kv_budget,n_seeds,mean_ttft_mean,mean_ttft_std,p50_ttft_mean,p50_ttft_std,p95_ttft_mean,p95_ttft_std,p99_ttft_mean,p99_ttft_std,goodput_mean,goodput_std,blocking_probability_mean,blocking_probability_std
0.5,64,109152,1,0.03170997038999777,0.0,0.028252332999954888,0.0,0.06147507230000434,0.0,0.08980210509992954,0.0,0.4944914483473907,0.0,0.0,0.0
1.0,64,109152,1,0.03192131673665775,0.0,0.029610777000016242,0.0,0.056432313650032095,0.0,0.08274529322001849,0.0,0.9779758026715268,0.0,0.0,0.0
2.0,64,109152,1,0.033688682946656175,0.0,0.030581355999970583,0.0,0.059295857600045604,0.0,0.0877319435100344,0.0,1.9133449103859523,0.0,0.0,0.0
3.0,64,109152,1,0.03505133461000393,0.0,0.031483881000099245,0.0,0.0680916317999163,0.0,0.0857574046801346,0.0,2.8086502760066705,0.0,0.0,0.0
4.0,64,109152,1,0.0360941546133328,0.0,0.03266992700002902,0.0,0.06753635519986577,0.0,0.08658505765998596,0.0,3.6645081754267377,0.0,0.0,0.0
5.0,64,109152,1,0.03802854969333187,0.0,0.03405172049997418,0.0,0.07506199170007906,0.0,0.09023634397019122,0.0,4.483560653423636,0.0,0.0,0.0
6.0,64,109152,1,0.03836933052333431,0.0,0.03514812050013916,0.0,0.07119531700000156,0.0,0.09222402637988805,0.0,5.26804829476404,0.0,0.0,0.0
8.0,64,109152,1,0.04088337580999981,0.0,0.037702602500075955,0.0,0.07781892325009496,0.0,0.09233197708997522,0.0,6.7346617458476015,0.0,0.0,0.0
0.5,64,284304,1,0.03148377003664791,0.0,0.028408092999825385,0.0,0.06523656660003782,0.0,0.08762588084995052,0.0,0.4944866419009612,0.0,0.0,0.0
1.0,64,284304,1,0.02902955910333882,0.0,0.028786287000230004,0.0,0.0369598799998812,0.0,0.043825131919952576,0.0,0.9779989487858978,0.0,0.0,0.0
2.0,64,284304,1,0.02956547020666221,0.0,0.02978555449999476,0.0,0.033761455550120445,0.0,0.035599310010247756,0.0,1.9134487278897434,0.0,0.0,0.0
3.0,64,284304,1,0.030997857463327515,0.0,0.030587757500143198,0.0,0.03749733590025244,0.0,0.047285024160119066,0.0,2.8084786756569775,0.0,0.0,0.0
